H_Id,H_Region,H_Name,H_Department,H_Categorie,Bed_Total,Bed_General,Bed_Psy,Bed_Nursing,Bed_Intensive,Bed_Isolation,Bed_Clean,H_PhoneNumber,H_Address,H_Latitude,H_Longitude
154,달성군,동산가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-614-9339,대구광역시 달성군 논공읍 논공로9길 56,35.73069446,128.4414882
167,달성군,윤가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-592-1046,대구광역시 달성군 다사읍 달구벌대로 800-2,35.8621191,128.4587237
720,달서구,한사랑가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-634-7374,"대구광역시 달서구 도원로 24, 2층 (도원동)",35.80758305,128.5354588
748,달서구,소망가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-587-2313,"대구광역시 달서구 선원남로 99 (이곡동, 한빛마을상가)",35.85749377,128.5122725
770,달서구,박가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-592-8575,대구광역시 달서구 신당로 56 (신당동),35.85229857,128.4988213
775,달서구,하나가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-521-3311,"대구광역시 달서구 용산서로 14, 202호 (용산동, 대광 골든프라자 2층)",35.85779405,128.529107
776,달서구,부부내과가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-592-0885,대구광역시 달서구 이곡공원로 13 (이곡동),35.85553382,128.5088989
780,달서구,유가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-636-7010,대구광역시 달서구 월배로28안길 53 (진천동),35.81313341,128.5283368
789,달서구,혜인가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-633-0070,"대구광역시 달서구 상화로8길 23, 204호 (대곡동)",35.80762404,128.5176863
841,달서구,푸른가정의원,의원,가정의학과,0,0,0,0,0,0,0,053-643-2211,"대구광역시 달서구 상화북로 185, 상인동동창빌딩 2층 203호 (상인동)",35.81331244,128.5457017
858,달서구,남윤덕가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-653-0653,"대구광역시 달서구 야외음악당로39길 45, 2층 (두류동)",35.85399991,128.554058
906,달서구,장기푸른가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-572-7588,"대구광역시 달서구 한들로 36, 116동 204,205호 (장기동, 영남네오빌파크 상가)",35.84700932,128.5265115
952,달서구,하가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-632-7238,대구광역시 달서구 상화로 300-21 (도원동),35.80743589,128.5470963
1021,달서구,이한무가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-201-7575,"대구광역시 달서구 야외음악당로39길 54, 115동 3층 (두류동, 삼정그린빌)",35.85415117,128.5543396
1594,수성구,자매가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-793-7575,"대구광역시 수성구 신매로16길 5, 2층 (신매동, 명진빌딩)",35.83692859,128.709055
1616,수성구,한가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-794-0501,대구광역시 수성구 달구벌대로651길 22 (사월동),35.83911784,128.7145484
2312,북구,김가정의학과-외과의원,의원,가정의학과,0,0,0,0,0,0,0,053-941-3893,대구광역시 북구 대구체육관로 51-2 (산격동),35.89268485,128.6049563
2367,북구,성지가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-952-0848,대구광역시 북구 산격로8길 1 (산격동),35.89377581,128.6053848
2373,북구,장영식가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-341-7588,"대구광역시 북구 호암로 30, 2층 (칠성동2가)",35.88233504,128.5938775
2404,북구,진가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-322-4101,"대구광역시 북구 영송로 85, 3층 306호,307호 (태전동, 한신중앙아파트 상가)",35.93279584,128.5426042
2530,북구,중앙연합정형외과 가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-356-8899,"대구광역시 북구 옥산로 95, 화인탑펠리스 5층 403, 404호 (칠성동2가)",35.88463386,128.5859339
2786,남구,삼성가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-651-1753,대구광역시 남구 대명남로 93-2 (대명동),35.8350067,128.5685577
2813,남구,소화가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-656-4118,"대구광역시 남구 성당로 204, 1층 (대명동)",35.85078861,128.5736109
2893,서구,곽외과가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-567-3496,대구광역시 서구 국채보상로 242 (평리동),35.87065461,128.5575424
2911,서구,서울가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-552-5659,"대구광역시 서구 문화로 254, 2층 (평리동)",35.87556355,128.5603169
3014,서구,경대가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-351-6674,대구광역시 서구 달서로 258 (원대동3가),35.88491425,128.5739033
3019,서구,현대가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-555-6660,대구광역시 서구 문화로60길 1 (평리동),35.87563149,128.5658011
3058,서구,수가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-353-7675,대구광역시 서구 달서천로41길 66-4 (비산동),35.88772989,128.5607004
3059,서구,참사랑가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-551-5590,대구광역시 서구 국채보상로50길 20 (평리동),35.86997804,128.5595135
3225,동구,예가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-954-3376,대구광역시 동구 아양로50길 116 (효목동),35.88236603,128.6423905
3231,동구,동대구가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-954-2458,"대구광역시 동구 아양로 187, 2층 (신암동)",35.88594278,128.6335929
3235,동구,송가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-957-3553,"대구광역시 동구 파계로6길 32, 2층 (지묘동, 노블하이츠상가)",35.94028371,128.6400682
3245,동구,신세계가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-983-0006,대구광역시 동구 동촌로 45 (입석동),35.88993607,128.6478514
3247,동구,이가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-981-7477,"대구광역시 동구 해동로 19, 2층 (지저동)",35.89636186,128.6380125
3481,동구,라온가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-939-4562,대구광역시 동구 신암로18길 12-1 (신천동),35.87761272,128.6119363
3570,동구,율하연합가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-962-1213,"대구광역시 동구 안심로22길 60, 동흥메디칼 4층 403호 (율하동)",35.86309447,128.6983657
4046,중구,건강지킴가정의학과의원,의원,가정의학과,0,0,0,0,0,0,0,053-422-8456,"대구광역시 중구 동덕로30길 45, 2층 (동인동4가)",35.86701845,128.6064083
4040,중구,나비편한샘의원,의원,갑상선전문,0,0,0,0,0,0,0,053-2544-275,"대구광역시 중구 달구벌대로 2120, 3층 (봉산동)",35.86484776,128.5954299
1887,수성구,중앙기업의원,의원,건강검진,0,0,0,0,0,0,0,053-741-7300,"대구광역시 수성구 달구벌대로527길 2, 2~3층 (만촌동)",35.85690241,128.651181
2886,서구,디케어센터의원,의원,건강검진,0,0,0,0,0,0,0,053-288-3000,"대구광역시 서구 와룡로 307, 2층 208~221,224~225호 (중리동)",35.85979099,128.5366498
3166,동구,한국건강관리협회 건강증진의원,의원,건강검진,29,29,0,0,0,0,0,053-757-0500,대구광역시 동구 장등로 16 (신천동),35.86879023,128.6235348
999,달서구,대구가톨릭의원,의원,건강검진,0,0,0,0,0,0,0,053-583-4280,"대구광역시 달서구 성서공단북로 308, 4층 (갈산동)",35.84379677,128.5066459
2338,북구,한국건강관리협회 건강증진의원,의원,건강검진,29,29,0,0,0,0,0,053-350-9000,대구광역시 북구 팔달로 23(노원동3가),35.89243137,128.5538197
3941,중구,(재)한국의학연구소대구분사무소부설의원,의원,건강검진,0,0,0,0,0,0,0,053-430-5000,"대구광역시 중구 중앙대로66길 20, 지하1~2층 (남산동, 반월당효성해링턴플레이스)",35.86173173,128.5933434
